 ****************** Start US v. 1.9 at 07-Dec-12 12:15:18 ******************
 
 output,0,0,0,0,0,0
 energy   5.300 GeV   current 250.0 mA
 sigx     1.070  mm   sigy    0.081 mm   sigx1  0.1433 mr   sigy1  0.0135 mr
 period   2.440  cm   N          40      Kx      0.000      Ky      2.350
 emin     500.0  eV   emax 100000.0 eV   ne       4999
 d       20.000   m   xpc     0.250 mm   ypc     0.000 mm
 xps      0.500  mm   yps     0.000 mm   nxp        10      nyp        10
 mode         4       method      4      iharm       0   
 nphi        20       nalpha     15      calpha2   2.0
 nomega      64       comega    8.0      nsigma      3
 
 e1      2906.6  eV   l1      4.266  A
 ptot    4613.7   W   pd      217.5  W/mm^2
 
 
 Flux through   0.500 mm x  0.000 mm pinhole at  0.250 mm,  0.000 mm @ 20.000 m:
 Integrated flux   2.764E+10 ph/s
 Integrated power        0.0 W
 Contributing harmonics    1 to   55
 
 Energy(eV)   Flux(ph/s/0.1%bw)   p1      p2      p3      p4
    500.000   1.017733E+04     0.982   0.000   0.000   0.018
    519.904   1.330391E+04     0.982   0.000   0.000   0.018
    539.808   1.629903E+04     0.982   0.000   0.000   0.018
    559.712   1.922157E+04     0.981   0.000   0.000   0.019
    579.616   2.223694E+04     0.981   0.000   0.000   0.019
    599.520   2.543743E+04     0.981   0.000   0.000   0.019
    619.424   2.881367E+04     0.980   0.000   0.000   0.020
    639.328   3.232650E+04     0.980   0.000   0.000   0.020
    659.232   3.595463E+04     0.980   0.000   0.000   0.020
    679.136   3.968189E+04     0.979   0.000   0.000   0.021
    699.040   4.347798E+04     0.979   0.000   0.000   0.021
    718.944   4.729616E+04     0.978   0.000   0.000   0.022
    738.848   5.113598E+04     0.978   0.000   0.000   0.022
    758.752   5.496815E+04     0.977   0.000   0.000   0.023
    778.656   5.876060E+04     0.976   0.000   0.000   0.024
    798.560   6.250397E+04     0.976   0.000   0.000   0.024
    818.464   6.628495E+04     0.974   0.000   0.000   0.026
    838.368   7.030259E+04     0.972   0.000   0.000   0.028
    858.272   7.475048E+04     0.969   0.000   0.000   0.031
    878.176   7.963673E+04     0.965   0.000   0.000   0.035
    898.080   8.472146E+04     0.960   0.000   0.000   0.040
    917.984   8.964396E+04     0.956   0.000   0.000   0.044
    937.888   9.417775E+04     0.953   0.000   0.000   0.047
    957.792   9.827718E+04     0.950   0.000   0.000   0.050
    977.696   1.020371E+05     0.947   0.000   0.000   0.053
    997.600   1.055411E+05     0.944   0.000   0.000   0.056
   1017.504   1.087784E+05     0.941   0.000   0.000   0.059
   1037.407   1.116688E+05     0.938   0.000   0.000   0.062
   1057.311   1.141428E+05     0.935   0.000   0.000   0.065
   1077.215   1.161964E+05     0.931   0.000   0.000   0.069
   1097.119   1.178741E+05     0.927   0.000   0.000   0.073
   1117.023   1.192050E+05     0.923   0.000   0.000   0.077
   1136.927   1.202079E+05     0.918   0.000   0.000   0.082
   1156.831   1.208661E+05     0.913   0.000   0.000   0.087
   1176.735   1.211770E+05     0.908   0.000   0.000   0.092
   1196.639   1.211453E+05     0.902   0.000   0.000   0.098
   1216.543   1.207733E+05     0.896   0.000   0.000   0.104
   1236.447   1.200648E+05     0.890   0.000   0.000   0.110
   1256.351   1.190314E+05     0.882   0.000   0.000   0.118
   1276.255   1.176894E+05     0.875   0.000   0.000   0.125
   1296.159   1.160666E+05     0.866   0.000   0.000   0.134
   1316.063   1.142184E+05     0.857   0.000   0.000   0.143
   1335.967   1.123113E+05     0.846   0.000   0.000   0.154
   1355.871   1.104656E+05     0.832   0.000   0.000   0.168
   1375.775   1.086878E+05     0.814   0.000   0.000   0.186
   1395.679   1.068341E+05     0.795   0.000   0.000   0.205
   1415.583   1.047379E+05     0.774   0.000   0.000   0.226
   1435.487   1.023587E+05     0.755   0.000   0.000   0.245
   1455.391   9.979208E+04     0.735   0.000   0.000   0.265
   1475.295   9.717038E+04     0.714   0.000   0.000   0.286
   1495.199   9.459379E+04     0.692   0.000   0.000   0.308
   1515.103   9.206771E+04     0.669   0.000   0.000   0.331
   1535.007   8.974129E+04     0.646   0.000   0.000   0.354
   1554.911   8.760946E+04     0.621   0.000   0.000   0.379
   1574.815   8.572689E+04     0.597   0.000   0.000   0.403
   1594.719   8.419760E+04     0.572   0.000   0.000   0.428
   1614.623   8.313955E+04     0.550   0.000   0.000   0.450
   1634.527   8.266087E+04     0.530   0.000   0.000   0.470
   1654.431   8.291078E+04     0.513   0.000   0.000   0.487
   1674.335   8.409939E+04     0.502   0.000   0.000   0.498
   1694.239   8.641097E+04     0.497   0.000   0.000   0.503
   1714.143   8.975490E+04     0.497   0.000   0.000   0.503
   1734.047   9.458847E+04     0.504   0.000   0.000   0.496
   1753.951   1.010511E+05     0.514   0.000   0.000   0.486
   1773.855   1.094249E+05     0.527   0.000   0.000   0.473
   1793.759   1.198265E+05     0.543   0.000   0.000   0.457
   1813.663   1.321939E+05     0.562   0.000   0.000   0.438
   1833.567   1.464927E+05     0.587   0.000   0.000   0.413
   1853.471   1.629164E+05     0.614   0.000   0.000   0.386
   1873.375   1.818539E+05     0.643   0.000   0.000   0.357
   1893.279   2.036912E+05     0.670   0.000   0.000   0.330
   1913.183   2.281644E+05     0.696   0.000   0.000   0.304
   1933.087   2.564912E+05     0.722   0.000   0.000   0.278
   1952.991   2.887232E+05     0.745   0.000   0.000   0.255
   1972.895   3.252319E+05     0.767   0.000   0.000   0.233
   1992.799   3.663229E+05     0.788   0.000   0.000   0.212
   2012.703   4.124766E+05     0.806   0.000   0.000   0.194
   2032.607   4.645511E+05     0.823   0.000   0.000   0.177
   2052.511   5.235700E+05     0.838   0.000   0.000   0.162
   2072.414   5.902695E+05     0.851   0.000   0.000   0.149
   2092.318   6.647799E+05     0.862   0.000   0.000   0.138
   2112.222   7.452993E+05     0.873   0.000   0.000   0.127
   2132.126   8.347417E+05     0.883   0.000   0.000   0.117
   2152.030   9.333956E+05     0.893   0.000   0.000   0.107
   2171.934   1.042669E+06     0.902   0.000   0.000   0.098
   2191.838   1.163407E+06     0.910   0.000   0.000   0.090
   2211.742   1.296727E+06     0.918   0.000   0.000   0.082
   2231.646   1.444976E+06     0.925   0.000   0.000   0.075
   2251.550   1.611018E+06     0.931   0.000   0.000   0.069
   2271.454   1.793559E+06     0.936   0.000   0.000   0.064
   2291.358   2.000297E+06     0.941   0.000   0.000   0.059
   2311.262   2.228045E+06     0.946   0.000   0.000   0.054
   2331.166   2.480151E+06     0.951   0.000   0.000   0.049
   2351.070   2.745206E+06     0.955   0.000   0.000   0.045
   2370.974   3.001277E+06     0.958   0.000   0.000   0.042
   2390.878   3.300989E+06     0.961   0.000   0.000   0.039
   2410.782   3.667970E+06     0.964   0.000   0.000   0.036
   2430.686   4.039192E+06     0.967   0.000   0.000   0.033
   2450.590   4.412287E+06     0.969   0.000   0.000   0.031
   2470.494   4.868859E+06     0.972   0.000   0.000   0.028
   2490.398   5.396776E+06     0.975   0.000   0.000   0.025
   2510.302   5.919445E+06     0.976   0.000   0.000   0.024
   2530.206   6.493893E+06     0.978   0.000   0.000   0.022
   2550.110   7.209179E+06     0.980   0.000   0.000   0.020
   2570.014   7.983747E+06     0.982   0.000   0.000   0.018
   2589.918   8.760509E+06     0.984   0.000   0.000   0.016
