 ****************** Start WS v. 1.5 at 24-Sep-12 18:16:16 ******************
 
 multi none revert,0,0,0,0,0,0
 energy   5.300 GeV   current 250.0 mA
 period  12.000  cm   N        49.0      Kx      0.000      Ky      9.000
 emin     500.0  eV   emax 100000.0 eV   ne       5000
 d       20.000   m   xpc     1.000 mm   ypc     0.500 mm
 xps      0.500  mm   yps     0.250 mm   nxp        10      nyp        10
 
 b0       0.803   T   ec0    15.005  keV
 e1        53.6  eV   l1    231.466  A
 ptot   16855.5   W   pd      210.2  W/mm^2
 
 Flux through   0.500 mm x  0.250 mm pinhole at  1.000 mm,  0.500 mm @ 20.000 m:
 Integrated flux   1.202E+16 ph/s
 Integrated power       23.1 W
 
 Energy(eV)   Flux(ph/s/0.1%bw)   p1      p2      p3      p4
   2370.974   2.287593E+12     0.956   0.000   0.000   0.044
   2390.878   2.298579E+12     0.956   0.000   0.000   0.044
   2410.782   2.309506E+12     0.956   0.000   0.000   0.044
   2430.686   2.320374E+12     0.956   0.000   0.000   0.044
   2450.590   2.331184E+12     0.955   0.000   0.000   0.045
   2470.494   2.341936E+12     0.955   0.000   0.000   0.045
   2490.398   2.352631E+12     0.955   0.000   0.000   0.045
   2510.302   2.363269E+12     0.955   0.000   0.000   0.045
   2530.206   2.373851E+12     0.955   0.000   0.000   0.045
   2550.110   2.384376E+12     0.955   0.000   0.000   0.045
   2570.014   2.394846E+12     0.955   0.000   0.000   0.045
   2589.918   2.405261E+12     0.954   0.000   0.000   0.046
   2609.822   2.415621E+12     0.954   0.000   0.000   0.046
   2629.726   2.425926E+12     0.954   0.000   0.000   0.046
   2649.630   2.436178E+12     0.954   0.000   0.000   0.046
   2669.534   2.446376E+12     0.954   0.000   0.000   0.046
   2689.438   2.456520E+12     0.954   0.000   0.000   0.046
   2709.342   2.466612E+12     0.953   0.000   0.000   0.047
   2729.246   2.476651E+12     0.953   0.000   0.000   0.047
   2749.150   2.486638E+12     0.953   0.000   0.000   0.047
   2769.054   2.496573E+12     0.953   0.000   0.000   0.047
   2788.958   2.506457E+12     0.953   0.000   0.000   0.047
   2808.862   2.516289E+12     0.953   0.000   0.000   0.047
   2828.766   2.526071E+12     0.953   0.000   0.000   0.047
   2848.670   2.535803E+12     0.952   0.000   0.000   0.048
   2868.574   2.545484E+12     0.952   0.000   0.000   0.048
   2888.478   2.555116E+12     0.952   0.000   0.000   0.048
   2908.382   2.564698E+12     0.952   0.000   0.000   0.048
   2928.286   2.574231E+12     0.952   0.000   0.000   0.048
   2948.190   2.583715E+12     0.952   0.000   0.000   0.048
   2968.094   2.593151E+12     0.951   0.000   0.000   0.049
   2987.998   2.602538E+12     0.951   0.000   0.000   0.049
   3007.902   2.611878E+12     0.951   0.000   0.000   0.049
   3027.806   2.621170E+12     0.951   0.000   0.000   0.049
   3047.710   2.630415E+12     0.951   0.000   0.000   0.049
   3067.614   2.639613E+12     0.951   0.000   0.000   0.049
   3087.518   2.648764E+12     0.951   0.000   0.000   0.049
   3107.421   2.657868E+12     0.951   0.000   0.000   0.049
   3127.325   2.666927E+12     0.950   0.000   0.000   0.050
   3147.229   2.675939E+12     0.950   0.000   0.000   0.050
   3167.133   2.684906E+12     0.950   0.000   0.000   0.050
   3187.037   2.693828E+12     0.950   0.000   0.000   0.050
   3206.941   2.702705E+12     0.950   0.000   0.000   0.050
   3226.845   2.711537E+12     0.950   0.000   0.000   0.050
   3246.749   2.720324E+12     0.950   0.000   0.000   0.050
   3266.653   2.729067E+12     0.949   0.000   0.000   0.051
   3286.557   2.737766E+12     0.949   0.000   0.000   0.051
   3306.461   2.746421E+12     0.949   0.000   0.000   0.051
   3326.365   2.755033E+12     0.949   0.000   0.000   0.051
   3346.269   2.763601E+12     0.949   0.000   0.000   0.051
   3366.173   2.772127E+12     0.949   0.000   0.000   0.051
   3386.077   2.780609E+12     0.949   0.000   0.000   0.051
   3405.981   2.789049E+12     0.949   0.000   0.000   0.051
   3425.885   2.797447E+12     0.948   0.000   0.000   0.052
   3445.789   2.805802E+12     0.948   0.000   0.000   0.052
   3465.693   2.814116E+12     0.948   0.000   0.000   0.052
   3485.597   2.822388E+12     0.948   0.000   0.000   0.052
   3505.501   2.830619E+12     0.948   0.000   0.000   0.052
   3525.405   2.838809E+12     0.948   0.000   0.000   0.052
   3545.309   2.846957E+12     0.948   0.000   0.000   0.052
   3565.213   2.855065E+12     0.948   0.000   0.000   0.052
   3585.117   2.863132E+12     0.947   0.000   0.000   0.053
   3605.021   2.871159E+12     0.947   0.000   0.000   0.053
   3624.925   2.879146E+12     0.947   0.000   0.000   0.053
   3644.829   2.887093E+12     0.947   0.000   0.000   0.053
   3664.733   2.895000E+12     0.947   0.000   0.000   0.053
   3684.637   2.902868E+12     0.947   0.000   0.000   0.053
   3704.541   2.910696E+12     0.947   0.000   0.000   0.053
   3724.445   2.918486E+12     0.947   0.000   0.000   0.053
   3744.349   2.926236E+12     0.946   0.000   0.000   0.054
   3764.253   2.933948E+12     0.946   0.000   0.000   0.054
   3784.157   2.941621E+12     0.946   0.000   0.000   0.054
   3804.061   2.949256E+12     0.946   0.000   0.000   0.054
   3823.965   2.956853E+12     0.946   0.000   0.000   0.054
   3843.869   2.964412E+12     0.946   0.000   0.000   0.054
   3863.773   2.971933E+12     0.946   0.000   0.000   0.054
   3883.677   2.979417E+12     0.946   0.000   0.000   0.054
   3903.581   2.986863E+12     0.946   0.000   0.000   0.054
   3923.485   2.994272E+12     0.945   0.000   0.000   0.055
   3943.389   3.001644E+12     0.945   0.000   0.000   0.055
   3963.293   3.008980E+12     0.945   0.000   0.000   0.055
   3983.197   3.016278E+12     0.945   0.000   0.000   0.055
   4003.101   3.023541E+12     0.945   0.000   0.000   0.055
   4023.005   3.030767E+12     0.945   0.000   0.000   0.055
   4042.909   3.037956E+12     0.945   0.000   0.000   0.055
