 ****************** Start US v. 1.9 at 07-Dec-12 12:15:18 ******************
 
 output,0,0,0,0,0,0
 energy   5.300 GeV   current 250.0 mA
 sigx     1.070  mm   sigy    0.081 mm   sigx1  0.1433 mr   sigy1  0.0135 mr
 period   2.440  cm   N          40      Kx      0.000      Ky      2.350
 emin     500.0  eV   emax 100000.0 eV   ne       4999
 d       20.000   m   xpc     0.000 mm   ypc     0.000 mm
 xps      0.000  mm   yps     0.000 mm   nxp        10      nyp        10
 mode         4       method      4      iharm       0   
 nphi        20       nalpha     15      calpha2   2.0
 nomega      64       comega    8.0      nsigma      3
 
 e1      2906.6  eV   l1      4.266  A
 ptot    4613.7   W   pd      217.5  W/mm^2
 
 
 Flux through   0.000 mm x  0.000 mm pinhole at  0.000 mm,  0.000 mm @ 20.000 m:
 Integrated flux   5.542E+04 ph/s
 Integrated power        0.0 W
 Contributing harmonics    1 to   55
 
 Energy(eV)   Flux(ph/s/0.1%bw)   p1      p2      p3      p4
   2291.358   4.011057E+00     0.941   0.000   0.000   0.059
   2311.262   4.472675E+00     0.946   0.000   0.000   0.054
   2331.166   4.981716E+00     0.951   0.000   0.000   0.049
   2351.070   5.502633E+00     0.955   0.000   0.000   0.045
   2370.974   6.013220E+00     0.958   0.000   0.000   0.042
   2390.878   6.631292E+00     0.961   0.000   0.000   0.039
   2410.782   7.370015E+00     0.964   0.000   0.000   0.036
   2430.686   8.097468E+00     0.967   0.000   0.000   0.033
   2450.590   8.847030E+00     0.969   0.000   0.000   0.031
   2470.494   9.777221E+00     0.972   0.000   0.000   0.028
   2490.398   1.082499E+01     0.975   0.000   0.000   0.025
   2510.302   1.185884E+01     0.977   0.000   0.000   0.023
   2530.206   1.303463E+01     0.978   0.000   0.000   0.022
   2550.110   1.449303E+01     0.980   0.000   0.000   0.020
   2570.014   1.602820E+01     0.982   0.000   0.000   0.018
   2589.918   1.757671E+01     0.984   0.000   0.000   0.016
   2609.822   1.948047E+01     0.985   0.000   0.000   0.015
   2629.726   2.178487E+01     0.987   0.000   0.000   0.013
   2649.630   2.412644E+01     0.988   0.000   0.000   0.012
   2669.534   2.668991E+01     0.989   0.000   0.000   0.011
   2689.438   3.006394E+01     0.991   0.000   0.000   0.009
   2709.342   3.400977E+01     0.992   0.000   0.000   0.008
   2729.246   3.810073E+01     0.993   0.000   0.000   0.007
   2749.150   4.334528E+01     0.994   0.000   0.000   0.006
   2769.054   5.070294E+01     0.995   0.000   0.000   0.005
   2788.958   5.890209E+01     0.996   0.000   0.000   0.004
   2808.862   6.768081E+01     0.997   0.000   0.000   0.003
   2828.766   8.150344E+01     0.998   0.000   0.000   0.002
   2848.670   1.025839E+02     0.998   0.000   0.000   0.002
   2868.574   1.196934E+02     0.999   0.000   0.000   0.001
   2888.478   1.138254E+02     0.999   0.000   0.000   0.001
   2908.382   8.041613E+01     0.999   0.000   0.000   0.001
   2928.286   3.855715E+01     0.998   0.000   0.000   0.002
   2948.190   1.161847E+01     0.992   0.000   0.000   0.008
   2968.094   4.295285E+00     0.979   0.000   0.000   0.021
   2987.998   4.895068E+00     0.981   0.000   0.000   0.019
   3007.902   4.028598E+00     0.977   0.000   0.000   0.023
   3027.806   2.126852E+00     0.955   0.000   0.000   0.045
   3047.710   1.758696E+00     0.945   0.000   0.000   0.055
   3067.614   2.025185E+00     0.951   0.000   0.000   0.049
   3087.518   1.559635E+00     0.935   0.000   0.000   0.065
   3107.421   1.044116E+00     0.902   0.000   0.000   0.098
   3127.325   1.123993E+00     0.907   0.000   0.000   0.093
   3147.229   1.178495E+00     0.910   0.000   0.000   0.090
   3167.133   8.877728E-01     0.878   0.000   0.000   0.122
   3187.037   7.479484E-01     0.853   0.000   0.000   0.147
   3206.941   8.598269E-01     0.870   0.000   0.000   0.130
   3226.845   8.225961E-01     0.861   0.000   0.000   0.139
   3246.749   6.543975E-01     0.822   0.000   0.000   0.178
   3266.653   6.557022E-01     0.820   0.000   0.000   0.180
   3286.557   7.315607E-01     0.836   0.000   0.000   0.164
   3306.461   6.652736E-01     0.816   0.000   0.000   0.184
   3326.365   5.885376E-01     0.789   0.000   0.000   0.211
   3346.269   6.410046E-01     0.803   0.000   0.000   0.197
   3366.173   6.757073E-01     0.810   0.000   0.000   0.190
   3386.077   6.144430E-01     0.788   0.000   0.000   0.212
   3405.981   5.999872E-01     0.780   0.000   0.000   0.220
   3425.885   6.579752E-01     0.796   0.000   0.000   0.204
   3445.789   6.591762E-01     0.793   0.000   0.000   0.207
   3465.693   6.098304E-01     0.773   0.000   0.000   0.227
   3485.597   6.193555E-01     0.773   0.000   0.000   0.227
   3505.501   6.605087E-01     0.783   0.000   0.000   0.217
   3525.405   7.045161E-01     0.792   0.000   0.000   0.208
   3545.309   7.529057E-01     0.800   0.000   0.000   0.200
   3565.213   8.056676E-01     0.807   0.000   0.000   0.193
   3585.117   8.617996E-01     0.814   0.000   0.000   0.186
   3605.021   9.197974E-01     0.821   0.000   0.000   0.179
   3624.925   9.792126E-01     0.829   0.000   0.000   0.171
   3644.829   1.040972E+00     0.837   0.000   0.000   0.163
   3664.733   1.106167E+00     0.845   0.000   0.000   0.155
   3684.637   1.175095E+00     0.852   0.000   0.000   0.148
   3704.541   1.247620E+00     0.858   0.000   0.000   0.142
   3724.445   1.323216E+00     0.865   0.000   0.000   0.135
   3744.349   1.403250E+00     0.871   0.000   0.000   0.129
   3764.253   1.487420E+00     0.877   0.000   0.000   0.123
   3784.157   1.575752E+00     0.883   0.000   0.000   0.117
   3804.061   1.668454E+00     0.888   0.000   0.000   0.112
   3823.965   1.765784E+00     0.893   0.000   0.000   0.107
   3843.869   1.867824E+00     0.898   0.000   0.000   0.102
   3863.773   1.974664E+00     0.902   0.000   0.000   0.098
   3883.677   2.086571E+00     0.907   0.000   0.000   0.093
   3903.581   2.203763E+00     0.911   0.000   0.000   0.089
   3923.485   2.326270E+00     0.915   0.000   0.000   0.085
   3943.389   2.452986E+00     0.919   0.000   0.000   0.081
   3963.293   2.586308E+00     0.922   0.000   0.000   0.078
   3983.197   2.725569E+00     0.926   0.000   0.000   0.074
   4003.101   2.870694E+00     0.929   0.000   0.000   0.071
   4023.005   3.021781E+00     0.932   0.000   0.000   0.068
   4042.909   3.179087E+00     0.935   0.000   0.000   0.065
   4062.813   3.342483E+00     0.938   0.000   0.000   0.062
   4082.717   3.512217E+00     0.941   0.000   0.000   0.059
   4102.621   3.690612E+00     0.943   0.000   0.000   0.057
   4122.525   3.881170E+00     0.945   0.000   0.000   0.055
   4142.428   4.082945E+00     0.946   0.000   0.000   0.054
   4162.332   4.294618E+00     0.948   0.000   0.000   0.052
   4182.236   4.510620E+00     0.950   0.000   0.000   0.050
   4202.140   4.730595E+00     0.952   0.000   0.000   0.048
   4222.044   4.957615E+00     0.954   0.000   0.000   0.046
   4241.948   5.193984E+00     0.956   0.000   0.000   0.044
   4261.852   5.439704E+00     0.958   0.000   0.000   0.042
   4281.756   5.694223E+00     0.959   0.000   0.000   0.041
   4301.660   5.957750E+00     0.961   0.000   0.000   0.039
   4321.564   6.230820E+00     0.963   0.000   0.000   0.037
   4341.468   6.513719E+00     0.964   0.000   0.000   0.036
   4361.372   6.803785E+00     0.966   0.000   0.000   0.034
   4381.276   7.105887E+00     0.967   0.000   0.000   0.033
   4401.180   7.418538E+00     0.969   0.000   0.000   0.031
   4421.084   7.742138E+00     0.970   0.000   0.000   0.030
   4440.988   8.076220E+00     0.971   0.000   0.000   0.029
   4460.892   8.419981E+00     0.972   0.000   0.000   0.028
   4480.796   8.774923E+00     0.973   0.000   0.000   0.027
   4500.700   9.146149E+00     0.975   0.000   0.000   0.025
   4520.604   9.538083E+00     0.976   0.000   0.000   0.024
   4540.508   9.948360E+00     0.977   0.000   0.000   0.023
   4560.412   1.036552E+01     0.978   0.000   0.000   0.022
   4580.316   1.078932E+01     0.978   0.000   0.000   0.022
   4600.220   1.121953E+01     0.979   0.000   0.000   0.021
   4620.124   1.166118E+01     0.980   0.000   0.000   0.020
   4640.028   1.211602E+01     0.981   0.000   0.000   0.019
