 ****************** Start US v. 1.9 at 07-Dec-12 12:15:18 ******************
 
 output,0,0,0,0,0,0
 energy   5.300 GeV   current 250.0 mA
 sigx     1.070  mm   sigy    0.081 mm   sigx1  0.1433 mr   sigy1  0.0135 mr
 period   2.440  cm   N          40      Kx      0.000      Ky      2.350
 emin     500.0  eV   emax 100000.0 eV   ne       4999
 d       20.000   m   xpc     0.750 mm   ypc     0.000 mm
 xps      0.500  mm   yps     0.000 mm   nxp        10      nyp        10
 mode         4       method      4      iharm       0   
 nphi        20       nalpha     15      calpha2   2.0
 nomega      64       comega    8.0      nsigma      3
 
 e1      2906.6  eV   l1      4.266  A
 ptot    4613.7   W   pd      217.5  W/mm^2
 
 
 Flux through   0.500 mm x  0.000 mm pinhole at  0.750 mm,  0.000 mm @ 20.000 m:
 Integrated flux   2.720E+10 ph/s
 Integrated power        0.0 W
 Contributing harmonics    1 to   55
 
 Energy(eV)   Flux(ph/s/0.1%bw)   p1      p2      p3      p4
    500.000   1.113999E+04     0.982   0.000   0.000   0.018
    519.904   1.377547E+04     0.982   0.000   0.000   0.018
    539.808   1.714934E+04     0.982   0.000   0.000   0.018
    559.712   2.093758E+04     0.981   0.000   0.000   0.019
    579.616   2.474007E+04     0.981   0.000   0.000   0.019
    599.520   2.840817E+04     0.981   0.000   0.000   0.019
    619.424   3.205167E+04     0.981   0.000   0.000   0.019
    639.328   3.580958E+04     0.980   0.000   0.000   0.020
    659.232   3.967752E+04     0.980   0.000   0.000   0.020
    679.136   4.361920E+04     0.979   0.000   0.000   0.021
    699.040   4.759896E+04     0.979   0.000   0.000   0.021
    718.944   5.162457E+04     0.978   0.000   0.000   0.022
    738.848   5.565401E+04     0.978   0.000   0.000   0.022
    758.752   5.963086E+04     0.977   0.000   0.000   0.023
    778.656   6.365826E+04     0.976   0.000   0.000   0.024
    798.560   6.801756E+04     0.974   0.000   0.000   0.026
    818.464   7.293159E+04     0.972   0.000   0.000   0.028
    838.368   7.817867E+04     0.968   0.000   0.000   0.032
    858.272   8.324081E+04     0.966   0.000   0.000   0.034
    878.176   8.776707E+04     0.964   0.000   0.000   0.036
    898.080   9.186294E+04     0.962   0.000   0.000   0.038
    917.984   9.588149E+04     0.959   0.000   0.000   0.041
    937.888   9.999072E+04     0.956   0.000   0.000   0.044
    957.792   1.040474E+05     0.952   0.000   0.000   0.048
    977.696   1.077398E+05     0.948   0.000   0.000   0.052
    997.600   1.109163E+05     0.945   0.000   0.000   0.055
   1017.504   1.136766E+05     0.942   0.000   0.000   0.058
   1037.407   1.162183E+05     0.938   0.000   0.000   0.062
   1057.311   1.186344E+05     0.935   0.000   0.000   0.065
   1077.215   1.208610E+05     0.931   0.000   0.000   0.069
   1097.119   1.228071E+05     0.927   0.000   0.000   0.073
   1117.023   1.243888E+05     0.923   0.000   0.000   0.077
   1136.927   1.255507E+05     0.919   0.000   0.000   0.081
   1156.831   1.262628E+05     0.914   0.000   0.000   0.086
   1176.735   1.265425E+05     0.909   0.000   0.000   0.091
   1196.639   1.264537E+05     0.903   0.000   0.000   0.097
   1216.543   1.260759E+05     0.898   0.000   0.000   0.102
   1236.447   1.254424E+05     0.891   0.000   0.000   0.109
   1256.351   1.245709E+05     0.884   0.000   0.000   0.116
   1276.255   1.234223E+05     0.877   0.000   0.000   0.123
   1296.159   1.220328E+05     0.869   0.000   0.000   0.131
   1316.063   1.205009E+05     0.858   0.000   0.000   0.142
   1335.967   1.188467E+05     0.845   0.000   0.000   0.155
   1355.871   1.169434E+05     0.831   0.000   0.000   0.169
   1375.775   1.146449E+05     0.817   0.000   0.000   0.183
   1395.679   1.120795E+05     0.802   0.000   0.000   0.198
   1415.583   1.094381E+05     0.785   0.000   0.000   0.215
   1435.487   1.068233E+05     0.766   0.000   0.000   0.234
   1455.391   1.041692E+05     0.745   0.000   0.000   0.255
   1475.295   1.014022E+05     0.723   0.000   0.000   0.277
   1495.199   9.857465E+04     0.701   0.000   0.000   0.299
   1515.103   9.575212E+04     0.678   0.000   0.000   0.322
   1535.007   9.314933E+04     0.655   0.000   0.000   0.345
   1554.911   9.082874E+04     0.631   0.000   0.000   0.369
   1574.815   8.891288E+04     0.608   0.000   0.000   0.392
   1594.719   8.755504E+04     0.585   0.000   0.000   0.415
   1614.623   8.691865E+04     0.565   0.000   0.000   0.435
   1634.527   8.714213E+04     0.547   0.000   0.000   0.453
   1654.431   8.812146E+04     0.534   0.000   0.000   0.466
   1674.335   8.996647E+04     0.525   0.000   0.000   0.475
   1694.239   9.255100E+04     0.521   0.000   0.000   0.479
   1714.143   9.604548E+04     0.521   0.000   0.000   0.479
   1734.047   1.007844E+05     0.524   0.000   0.000   0.476
   1753.951   1.070118E+05     0.531   0.000   0.000   0.469
   1773.855   1.148231E+05     0.543   0.000   0.000   0.457
   1793.759   1.240845E+05     0.559   0.000   0.000   0.441
   1813.663   1.354645E+05     0.578   0.000   0.000   0.422
   1833.567   1.491338E+05     0.600   0.000   0.000   0.400
   1853.471   1.652906E+05     0.624   0.000   0.000   0.376
   1873.375   1.840901E+05     0.649   0.000   0.000   0.351
   1893.279   2.057534E+05     0.675   0.000   0.000   0.325
   1913.183   2.305756E+05     0.701   0.000   0.000   0.299
   1933.087   2.583646E+05     0.724   0.000   0.000   0.276
   1952.991   2.901097E+05     0.747   0.000   0.000   0.253
   1972.895   3.258839E+05     0.768   0.000   0.000   0.232
   1992.799   3.661395E+05     0.788   0.000   0.000   0.212
   2012.703   4.115163E+05     0.806   0.000   0.000   0.194
   2032.607   4.627703E+05     0.823   0.000   0.000   0.177
   2052.511   5.206043E+05     0.837   0.000   0.000   0.163
   2072.414   5.855759E+05     0.850   0.000   0.000   0.150
   2092.318   6.565564E+05     0.862   0.000   0.000   0.138
   2112.222   7.363916E+05     0.873   0.000   0.000   0.127
   2132.126   8.245036E+05     0.883   0.000   0.000   0.117
   2152.030   9.215385E+05     0.893   0.000   0.000   0.107
   2171.934   1.028604E+06     0.902   0.000   0.000   0.098
   2191.838   1.146916E+06     0.910   0.000   0.000   0.090
   2211.742   1.277756E+06     0.917   0.000   0.000   0.083
   2231.646   1.419445E+06     0.924   0.000   0.000   0.076
   2251.550   1.579502E+06     0.930   0.000   0.000   0.070
   2271.454   1.757754E+06     0.936   0.000   0.000   0.064
   2291.358   1.954764E+06     0.941   0.000   0.000   0.059
   2311.262   2.173371E+06     0.945   0.000   0.000   0.055
   2331.166   2.416249E+06     0.950   0.000   0.000   0.050
   2351.070   2.684508E+06     0.954   0.000   0.000   0.046
   2370.974   2.967301E+06     0.958   0.000   0.000   0.042
   2390.878   3.245203E+06     0.961   0.000   0.000   0.039
   2410.782   3.574312E+06     0.964   0.000   0.000   0.036
   2430.686   3.964762E+06     0.967   0.000   0.000   0.033
   2450.590   4.349711E+06     0.969   0.000   0.000   0.031
   2470.494   4.754683E+06     0.972   0.000   0.000   0.028
   2490.398   5.260101E+06     0.974   0.000   0.000   0.026
   2510.302   5.816121E+06     0.976   0.000   0.000   0.024
   2530.206   6.367982E+06     0.978   0.000   0.000   0.022
   2550.110   7.018394E+06     0.980   0.000   0.000   0.020
   2570.014   7.803106E+06     0.982   0.000   0.000   0.018
   2589.918   8.601635E+06     0.984   0.000   0.000   0.016
   2609.822   9.459200E+06     0.985   0.000   0.000   0.015
   2629.726   1.054642E+07     0.987   0.000   0.000   0.013
   2649.630   1.176946E+07     0.988   0.000   0.000   0.012
   2669.534   1.301223E+07     0.989   0.000   0.000   0.011
   2689.438   1.454122E+07     0.991   0.000   0.000   0.009
   2709.342   1.649561E+07     0.992   0.000   0.000   0.008
   2729.246   1.859702E+07     0.993   0.000   0.000   0.007
   2749.150   2.104336E+07     0.994   0.000   0.000   0.006
   2769.054   2.449215E+07     0.995   0.000   0.000   0.005
   2788.958   2.863989E+07     0.996   0.000   0.000   0.004
   2808.862   3.301830E+07     0.997   0.000   0.000   0.003
   2828.766   3.949554E+07     0.998   0.000   0.000   0.002
   2848.670   4.974556E+07     0.998   0.000   0.000   0.002
   2868.574   5.869261E+07     0.999   0.000   0.000   0.001
   2888.478   5.618579E+07     0.999   0.000   0.000   0.001
   2908.382   3.926261E+07     0.999   0.000   0.000   0.001
   2928.286   1.809296E+07     0.997   0.000   0.000   0.003
   2948.190   5.104153E+06     0.991   0.000   0.000   0.009
   2968.094   2.090738E+06     0.978   0.000   0.000   0.022
   2987.998   2.435908E+06     0.981   0.000   0.000   0.019
   3007.902   1.788077E+06     0.973   0.000   0.000   0.027
   3027.806   9.374769E+05     0.948   0.000   0.000   0.052
   3047.710   9.244874E+05     0.946   0.000   0.000   0.054
   3067.614   9.707075E+05     0.948   0.000   0.000   0.052
   3087.518   6.583480E+05     0.922   0.000   0.000   0.078
   3107.421   5.118075E+05     0.898   0.000   0.000   0.102
   3127.325   5.947864E+05     0.911   0.000   0.000   0.089
   3147.229   5.278626E+05     0.898   0.000   0.000   0.102
   3167.133   3.859279E+05     0.857   0.000   0.000   0.143
   3187.037   4.015191E+05     0.860   0.000   0.000   0.140
   3206.941   4.319327E+05     0.868   0.000   0.000   0.132
   3226.845   3.527136E+05     0.835   0.000   0.000   0.165
   3246.749   3.151654E+05     0.812   0.000   0.000   0.188
   3266.653   3.564649E+05     0.831   0.000   0.000   0.169
   3286.557   3.424476E+05     0.821   0.000   0.000   0.179
   3306.461   2.935330E+05     0.787   0.000   0.000   0.213
   3326.365   3.086377E+05     0.794   0.000   0.000   0.206
   3346.269   3.319543E+05     0.805   0.000   0.000   0.195
   3366.173   3.026551E+05     0.783   0.000   0.000   0.217
   3386.077   2.900549E+05     0.769   0.000   0.000   0.231
   3405.981   3.180098E+05     0.786   0.000   0.000   0.214
   3425.885   3.157248E+05     0.782   0.000   0.000   0.218
   3445.789   2.898399E+05     0.758   0.000   0.000   0.242
   3465.693   2.961466E+05     0.760   0.000   0.000   0.240
   3485.597   3.152935E+05     0.770   0.000   0.000   0.230
   3505.501   3.360973E+05     0.780   0.000   0.000   0.220
   3525.405   3.584061E+05     0.789   0.000   0.000   0.211
   3545.309   3.818690E+05     0.798   0.000   0.000   0.202
   3565.213   4.063241E+05     0.807   0.000   0.000   0.193
   3585.117   4.319872E+05     0.815   0.000   0.000   0.185
   3605.021   4.592854E+05     0.824   0.000   0.000   0.176
   3624.925   4.882241E+05     0.831   0.000   0.000   0.169
   3644.829   5.194098E+05     0.839   0.000   0.000   0.161
   3664.733   5.524341E+05     0.845   0.000   0.000   0.155
   3684.637   5.870258E+05     0.852   0.000   0.000   0.148
