10.0,0,5e-10,0.2500000005,0.7499999995,0.9999999995,1.0
0,0,0,0,0,0,0
5e-10,0,22.39557264438689,22.25971509386498,21.193828877997323,20.29577271509058,0
0.1250000005,0,22.393775561317593,22.25792212623846,21.19207118494667,20.294048254535888,0
0.3749999995,0,22.379386783553294,22.243565897577078,21.17799806383179,20.280241119766373,0
0.4999999995,0,22.366777877503,22.23098583469561,21.16566644747013,20.268143011956774,0
0.5,0,0,0,0,0,0

100.0,0,5e-10,0.2500000005,0.7499999995,0.9999999995,1.0
0,0,0,0,0,0,0
5e-10,0,25.101787653191533,24.916508114559246,23.482934640014694,22.303888601304656,0
0.1250000005,0,25.099187078569464,24.91392206185394,23.480464393898224,22.301516351094243,0
0.3749999995,0,25.07837026638423,24.893221070175596,23.460691226537893,22.282527550482424,0
0.4999999995,0,25.060136633844937,24.875089243047526,23.44337255189398,22.265896365762995,0
0.5,0,0,0,0,0,0
