100.0,0,5e-10,0.08333333383333333,0.25,0.41666666666666663,0.5833333333333334,0.75,0.9166666661666666,0.9999999995,1.0
0,0,0,0,0,0,0,0,0,0,0
5e-10,0,2.0974761865707695e+25,1.2584712379294656e+17,1.2583553018009706e+17,1.258123414550821e+17,1.2577754722315037e+17,1.257311344045315e+17,1.2567308835756022e+17,2.093994906241899e+25,0
0.0312500005,0,3.354400161730494e+17,2012616925.8169577,2012431500.8877394,2012060604.1299279,2011504081.7409496,2010761751.2327647,2009833329.966209,3.3488320219446995e+17,0
0.09375,0,3.3419308994718906e+17,2005135439.2669325,2004950530.3458483,2004580657.0178049,2004025700.875135,2003285431.8038654,2002359612.808829,3.33637830889125e+17,0
0.15625,0,3.317127607607394e+17,1990253594.127987,1990069713.8653913,1989701923.0699081,1989150064.674908,1988413952.3124692,1987493300.6494353,3.311606137458807e+17,0
0.21875,0,3.280261202163501e+17,1968133944.6561925,1967951627.0958939,1967586926.4608452,1967039735.5349257,1966309851.7409182,1965397000.568349,3.274786404586341e+17,0
0.28125,0,3.231739257430923e+17,1939021046.741278,1938840793.0038943,1938480251.8706014,1937939286.91757,1937217693.4719377,1936315229.7027333,3.2263267695152256e+17,0
0.34375,0,3.172105917588728e+17,1903241350.8682473,1903063693.8033953,1902708343.707786,1902175134.0303276,1901463923.0782053,1900574439.7704241,3.166771200191051e+17,0
0.40625,0,3.1020393133137075e+17,1861201782.1421719,1861027221.3362389,1860678064.2671077,1860154174.5101256,1859455371.656869,1858581418.7944908,3.0967977589535443e+17,0
0.4687499995,0,3.02234578606921e+17,1813386121.5019565,1813215161.9059124,1812873189.617563,1812360109.5220938,1811675729.3831296,1810819808.8023248,3.0172123629694195e+17,0
0.4999999995,0,1.8619833423214407e+25,1.1171768100631917e+17,1.117071194760965e+17,1.1168599506065058e+17,1.1165429853323306e+17,1.1161201963438395e+17,1.1155914557044109e+17,1.8588121281203173e+25,0
0.5,0,0,0,0,0,0,0,0,0,0

10.0,0,5e-10,0.08333333383333333,0.25,0.41666666666666663,0.5833333333333334,0.75,0.9166666661666666,0.9999999995,1.0
0,0,0,0,0,0,0,0,0,0,0
5e-10,0,2.6062600865987504e+22,156367749889334.1,156304902811045.25,156179233737723.1,155990785574232.9,155739626877705.38,155425847142299.22,2.587425150303781e+22,0
0.0312500005,0,416275689193143.3,2497528.592320355,2496524.39467583,2494516.3416295815,2491505.174157866,2487491.9712299677,2482478.189088776,413266100912127.5,0
0.09375,0,410508169968764.7,2462924.843737293,2461931.2470949707,2459944.4564572615,2456965.197454964,2452994.5061351247,2448033.903805534,407530476127651.75,0
0.15625,0,399184199303814.94,2394983.612591493,2394011.066301665,2392066.309199981,2389150.0939344913,2385263.5084210644,2380407.9900546274,396269564250386.44,0
0.21875,0,382715887460716.94,2296177.6108175255,2295235.973279992,2293353.094337119,2290529.6705205683,2286766.7969493833,2282065.9332812903,379894049455128.94,0
0.28125,0,361696769460092.2,2170067.9152766042,2169166.407189761,2167363.757568674,2164660.7050496587,2161058.2813347075,2156558.028035359,358995287244981.6,0
0.34375,0,336872869383945.25,2021130.5677052033,2020277.4206023756,2018571.4875087054,2016013.4820790119,2012604.5037174853,2008346.0007993514,334316450096073.25,0
0.40625,0,309105603304164.94,1854533.9021277681,1853736.1683861313,1852141.0828692825,1849749.3461963856,1846562.0252307025,1842580.573536698,306715433039484.3,0
0.4687499995,0,279328106963831.7,1675876.5787063744,1675139.9626563569,1673667.1005162944,1671458.7160783175,1668515.8465151999,1664839.9131215026,277121262545750.22,0
0.4999999995,0,1.64990623836095e+22,98988870591230.56,98944847540168.55,98856822589548.1,98724839045440.62,98548964453875.0,98329285164319.5,1.6367175244287576e+22,0
0.5,0,0,0,0,0,0,0,0,0,0
