110.0,0,5e-10,0.08333333383333333,0.25,0.41666666666666663,0.5833333333333334,0.75,0.9166666661666666,0.9999999995,1.0
0,0,0,0,0,0,0
5e-10,0,8.371051055809493,8.309192695575943,7.830628822097588,7.435527465745431,0
0.1250000005,0,8.370954628538145,8.309096785924345,7.830537236310047,7.43543958897666,0
0.3749999995,0,8.370182678188673,8.308329234495083,7.8298041650211205,7.434736472183705,0
0.4999999995,0,8.368638674711736,8.306793841908407,7.828337847183603,7.433330021502358,0
0.5,0,8.366321905439829,8.304490000793779,7.826137794077195,7.431219849165589,0
0,8.363231589824354,8.30141698956254,7.823203233173387,7.4284050147767555,0
0,8.359366621230897,8.297573637555736,7.819533082400285,7.424884665401854,0
0,8.357143185252303,8.295362682283525,7.817421776795988,7.422859659977958,0
0,0,0,0,0,0
