110.0,0,5e-10,0.08333333383333333,0.25,0.41666666666666663,0.5833333333333334,0.75,0.9166666661666666,0.9999999995,1.0
0,0,0,0,0,0,0
5e-10,0,7.610046414372266e+25,3.0215246286591686e+17,2.8475014012436736e+17,6.759570423404936e+25,0
0.1250000005,0,4.565975279325749e+17,1812893862.3306136,1708480868.6433642,4.0556943455941626e+17,0
0.3749999995,0,4.565554188102912e+17,1812726385.6861963,1708320915.5651643,4.0553108030092934e+17,0
0.4999999995,0,4.5647120043882195e+17,1812391390.9386723,1708000991.6720626,4.054543648092195e+17,0
0.5,0,4.5634483120580883e+17,1811888734.69347,1707520980.0832899,4.053392644999412e+17,0
0,4.561762685358738e+17,1811218259.5130634,1706880712.2471707,4.051857280787321e+17,0
0,4.5596545480293254e+17,1810379720.8432302,1706079962.3117707,4.0499371145188154e+17,0
0,7.597402895683911e+25,3.0164955328963546e+17,2.842698839296609e+17,6.748054236343598e+25,0
0,0,0,0,0,0
