10.0,0,0.1,0.30000000000000004,0.5,0.7000000000000001,0.9,1.0
0,0,0,0,0,0,0,0
0.05,0,17932850611.527313,17793329926.122955,17516484684.40707,17106946673.213034,16572154579.449715,0
0.15000000000000002,0,17931008748.797386,17791493354.269867,17514659195.57385,17105138632.39492,16570371455.838324,0
0.25,0,17927323518.12964,17787818817.2133,17511006732.911953,17101521260.452774,16566803945.217337,0
0.35000000000000003,0,17921792249.88155,17782303544.359413,17505524749.045773,17096091912.617943,16561449413.060562,0
0.45,0,17914410727.30184,17774943468.61707,17498209000.111134,17088846616.415733,16554304155.042814,0
0.5,0,0,0,0,0,0,0

10.0,0,0.1,0.30000000000000004,0.5,0.7000000000000001,0.9,1.0
0,0,0,0,0,0,0,0
0.05,0,1323557483.8441908,1295214056.0327923,1240051344.972856,1161044598.420529,1062456267.2430912,0
0.15000000000000002,0,1323103213.761731,1294766242.4131255,1239616350.5095816,1160628560.5755355,1062064901.6637119,0
0.25,0,1322194601.4661705,1293870552.7422318,1238746318.1161773,1159796444.860588,1061282149.4310145,0
0.35000000000000003,0,1320831525.9437673,1292526885.7391152,1237441153.2005973,1158548181.8427398,1060107956.1772752,0
0.45,0,1319013800.3416626,1290735040.668165,1235700680.1133323,1156883680.3686874,1058542287.4376295,0
0.5,0,0,0,0,0,0,0

10.0,0,0.1,0.30000000000000004,0.5,0.7000000000000001,0.9,1.0
0,0,0,0,0,0,0,0
0.05,0,459431572.82782483,447908544.90074694,425606972.3436092,393963078.63874006,354994770.33975124,0
0.15000000000000002,0,459244798.1335649,447725078.3824344,425430029.92373013,393795676.78226835,354839598.85705256,0
0.25,0,458871251.8200645,447358152.23305774,425076160.1314652,393460890.411457,354529277.0843466,0
0.35000000000000003,0,458310953.39812946,446807793.78348404,424545390.0774515,392958754.8040416,354063846.487636,0
0.45,0,457563926.72430253,446074021.0425335,423837751.1801999,392289330.03981805,353443384.5325688,0
0.5,0,0,0,0,0,0,0

10.0,0,0.1,0.30000000000000004,0.5,0.7000000000000001,0.9,1.0
0,0,0,0,0,0,0,0
0.05,0,197665883.87266847,192231457.18738088,181751441.26926547,166970739.38364828,148923774.38502255,0
0.15000000000000002,0,197577294.98420343,192144637.5323642,181668097.24188814,166892443.54123396,148851891.34508118,0
0.25,0,197400129.2020433,191971011.86183518,181501425.74982825,166735870.2580944,148708144.2935366,0
0.35000000000000003,0,197134416.4342923,191710613.59462404,181251459.733244,166501055.0920471,148492571.35401815,0
0.45,0,196780198.7491039,191363482.27992097,180918245.4857603,166188054.95628878,148205235.39342457,0
0.5,0,0,0,0,0,0,0

10.0,0,0.1,0.30000000000000004,0.5,0.7000000000000001,0.9,1.0
0,0,0,0,0,0,0,0
0.05,0,94237485.3888741,91477247.04243183,86168316.19618022,78713962.52302986,69669553.25122704,0
0.15000000000000002,0,94192325.64045683,91433064.35133216,86126047.64284472,78674460.76218492,69633543.47183795,0
0.25,0,94102016.37814742,91344709.89534225,86041522.42513555,78595470.40494308,69561536.90454982,0
0.35000000000000003,0,93966580.44032851,91212208.22360046,85914764.83923936,78477016.44655973,69453559.70233291,0
0.45,0,93786050.83535174,91035591.22139682,85745810.09699135,78319138.24500228,69309653.24253988,0
0.5,0,0,0,0,0,0,0

10.0,0,0.1,0.30000000000000004,0.5,0.7000000000000001,0.9,1.0
0,0,0,0,0,0,0,0
0.05,0,47774416.132962964,46307119.972616784,43490829.6318269,39550214.89985231,34792707.21601869,0
0.15000000000000002,0,47750347.73615139,46283603.784803584,43468392.96834566,39529332.87294499,34773777.50965746,0
0.25,0,47702218.16673553,46236578.9181498,43423527.41411654,39487577.40231784,34735926.35479988,0
0.35000000000000003,0,47630042.73490281,46166061.54913872,43356249.045568995,39424964.63187183,34679170.45008728,0
0.45,0,47533843.8782111,46072073.608671926,43266581.41580058,39341519.769032225,34603535.619433716,0
0.5,0,0,0,0,0,0,0

10.0,0,0.1,0.30000000000000004,0.5,0.7000000000000001,0.9,1.0
0,0,0,0,0,0,0,0
0.05,0,25239027.79196974,24434369.254304726,22892542.123972498,20741330.281550992,18154688.8675443,0
0.15000000000000002,0,25225802.821989246,24421461.84111015,22880254.440024927,20729932.4356005,18144403.975982156,0
0.25,0,25199357.65616092,24395651.90418723,22855683.99179877,20707142.154544614,18123839.309232417,0
0.35000000000000003,0,25159702.10809428,24356949.703557774,22818841.00938772,20672969.561311144,18093005.263481803,0
0.45,0,25106850.680492483,24305369.513651244,22769740.553267237,20627430.37086263,18051917.67956237,0
0.5,0,0,0,0,0,0,0

10.0,0,0.1,0.30000000000000004,0.5,0.7000000000000001,0.9,1.0
0,0,0,0,0,0,0,0
0.05,0,13735704.524364555,13284273.166410342,12420501.861348122,11218219.712245991,9777501.317202074,0
0.15000000000000002,0,13728273.45850438,13277027.198216638,12413616.602612419,11211851.110566897,9771776.74508444,0
0.25,0,13713414.390052242,13262538.370923236,12399849.158563629,11199117.270648861,9760330.740588909,0
0.35000000000000003,0,13691133.493773885,13240813.091419984,12379205.931681952,11180024.46658106,9743169.712499307,0
0.45,0,13661439.941722598,13211860.42968616,12351696.37183827,11154582.394445298,9720303.326463344,0
0.5,0,0,0,0,0,0,0

10.0,0,0.1,0.30000000000000004,0.5,0.7000000000000001,0.9,1.0
0,0,0,0,0,0,0,0
0.05,0,7645182.64141183,7387467.091275988,6894951.625295132,6210823.235073548,5393408.079669183,0
0.15000000000000002,0,7640934.956161937,7383328.469160293,6891025.280394952,6207200.313046648,5390162.300343545,0
