10.0,0,5e-10,0.0500000005,0.15000000000000002,0.25,0.35000000000000003,0.45,0.55,0.65,0.75,0.85,0.9499999994999999,0.9999999995,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5e-10,0,8.97628653509678e+25,1.7948200716037366e+18,1.791324153979635e+18,1.7843456415733993e+18,1.7739114518928218e+18,1.7600630336015337e+18,1.7428574488543939e+18,1.722368691540905e+18,1.6986888975985367e+18,1.6719295839808525e+18,1.6422224686829412e+18,8.132342988487619e+25,0
0.0250000005,0,8.976257935035629e+17,17948143153.37095,17913184215.978016,17843399204.18465,17739057435.162453,17600573455.651814,17428517807.360264,17223630498.771034,16986832911.62567,16719240103.325413,16422169377.652222,8.13231546844677e+17,0
0.07500000000000001,0,8.976027715764175e+17,17947682992.681183,17912724076.522446,17842939756.920815,17738599084.101017,17600116303.518562,17428062506.643806,17223177491.84968,16986382441.972317,16718792659.915823,16421725611.998735,8.132094415376815e+17,0
0.125,0,8.975567386966139e+17,17946762372.286858,17911804365.24586,17842021280.374023,17737682462.615597,17599202452.208553,17427152239.46105,17222271493.101643,16985481696.201231,16717898149.921278,16420838155.378977,8.13165241408006e+17,0
0.17500000000000002,0,8.97487693269971e+17,17945381293.01511,17910424163.186943,17840643038.803513,17736307436.78311,17597831538.59204,17425786616.63414,17220912255.819763,16984130465.046938,16716556069.596031,16419506927.482317,8.130989447560108e+17,0
0.225,0,8.973955881238501e+17,17943539616.53525,17908583767.633537,17838805440.1742,17734473562.597218,17596003266.777325,17423965302.850426,17219099715.75314,16982328108.233793,16714766293.323738,16417731376.606,8.130105301687571e+17,0
0.275,0,8.972804408165719e+17,17941236840.705933,17906282572.695858,17836507386.844902,17732180697.03823,17593717161.30678,17421688026.296467,17216833235.615303,16980074938.566053,16712528485.329805,16415511694.242714,8.128999654765603e+17,0
0.325,0,8.971422159637198e+17,17938472487.813297,17903520248.22461,17833749073.59464,17729428454.04873,17590973123.644356,17418954464.660774,17214112488.895763,16977370001.503098,16709842079.129082,16412847018.62854,8.127672532036824e+17,0
0.375,0,8.969808742056534e+17,17935246198.76119,17900296289.570797,17830529584.455948,17726215950.822998,17587770247.81549,17415763909.109528,17210937320.299946,16974213131.017567,16706706919.744343,16409736976.383524,8.126123709583366e+17,0
0.425,0,8.967964139885036e+17,17931557130.09127,17896609784.72606,17826848506.715893,17722542946.762856,17584108170.50288,17412115900.715515,17207306793.73807,16970603560.452017,16703122186.029171,16406181071.247774,8.12435267732215e+17,0
0.47499999949999994,0,8.965887879054026e+17,17927404975.966812,17892460369.288364,17822705151.253345,17718408729.546024,17579986511.932983,17408009908.310535,17203220576.50447,16966540847.194729,16699087398.497284,16402178675.576084,8.122359462807084e+17,0
0.49999999949999996,0,8.964762669401903e+25,1.7925154588124844e+18,1.789021181006341e+18,1.7820459693634353e+18,1.7716168094919864e+18,1.7577752485119747e+18,1.740578470395161e+18,1.7201005890328177e+18,1.6964338988113595e+18,1.6696900963071585e+18,1.64000097717504e+18,8.121279260471273e+25,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0

100.0,0,5e-10,0.0500000005,0.15000000000000002,0.25,0.35000000000000003,0.45,0.55,0.65,0.75,0.85,0.9499999994999999,0.9999999995,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5e-10,0,1.0065455142168963e+25,2.012491894237898e+17,2.0077044657874106e+17,1.998162739844084e+17,1.983932919987293e+17,1.9651146185986435e+17,1.941840964776851e+17,1.9142785949980752e+17,1.8826271341563574e+17,1.8471183134626573e+17,1.8080142806163686e+17,8.93791128444196e+24,0
0.0250000005,0,1.006541364427185e+17,2012483558.8926175,2007696165.041496,1998154471.041056,1983924697.0279944,1965106458.282818,1941832876.8296187,1914270594.424355,1882619240.045042,1847110533.2837827,1808006629.5469763,8.93787337291716e+16,0
0.07500000000000001,0,1.0065080126831424e+17,2012416893.9343812,2007629588.9476378,1998088136.531238,1983858726.667711,1965040945.7302718,1941767967.9085584,1914206411.067129,1882555879.628776,1847048113.360235,1807945277.8755841,8.937569125241994e+16,0
0.125,0,1.0064413231525885e+17,2012283539.813447,2007496497.7755165,1997955510.6539662,1983726799.0631304,1964909971.1791084,1941638188.9096603,1914078051.3730457,1882429183.2864535,1846923316.2698636,1807822587.536098,8.9369607473846e+16,0
0.17500000000000002,0,1.0063412922927141e+17,2012083493.157282,2007296795.4114382,1997756519.08059,1983528895.9833481,1964713494.1466851,1941443499.0102336,1913885486.4418406,1882239127.6085312,1846736088.5670688,1807638547.4110675,8.936048227596974e+16,0
0.225,0,1.00620787284067e+17,2011816740.1940076,2007030515.3570848,1997491203.4083772,1983264975.1140807,1964451488.1791384,1941183862.304627,1913628712.4833255,1881985648.963388,1846486419.5959785,1807393104.3230815,8.93483135612489e+16,0
0.275,0,1.006041082227727e+17,2011483229.6407175,2006697593.306236,1997159452.2243574,1982935022.8960092,1964123904.1459498,1940859255.0143218,1913307665.3567145,1881668779.4770975,1846174277.0770462,1807086279.8943455,8.933309807361842e+16,0
0.325,0,1.0058408848901595e+17,2011082915.203861,2006297996.2489533,1996761285.8755271,1982538998.0882547,1963730731.5254083,1940469643.5372934,1912922311.8503754,1881288426.021679,1845799605.114317,1806717987.436865,8.931483631192312e+16,0
0.375,0,1.0056072415883582e+17,2010615758.3471909,2005831674.7467155,1996296612.3105175,1982076814.2910147,1963271881.6365514,1940014958.7228196,1912472640.528539,1880844572.102722,1845362391.8317018,1806288194.6425006,8.929352612166909e+16,0
